;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39
0;0x;a;55;0;0;0;a;dd;1;34;0;5f;1b;33;0;3c;f6;ff;ff;c;f9;ff;ff;77;e;0;0;e3;2d;0;0;fe;3;0;34;0;4c;38;41;64
1;0x;a;55;0;0;0;a;dd;1;34;0;5f;1b;33;0;3c;f6;ff;ff;c;f9;ff;ff;77;e;0;0;e3;2d;0;0;fe;3;0;34;0;4c;38;41;64
2;0x;a;55;0;0;0;a;dd;1;34;0;5f;1b;33;0;3c;f6;ff;ff;c;f9;ff;ff;77;e;0;0;e3;2d;0;0;fe;3;0;34;0;4c;38;41;64
3;0x;a;55;0;0;0;a;dd;1;34;0;5f;1b;33;0;3c;f6;ff;ff;c;f9;ff;ff;77;e;0;0;e3;2d;0;0;fe;3;0;34;0;4c;38;41;64
4;0x;a;55;0;0;0;a;dd;1;34;0;5f;1b;33;0;3c;f6;ff;ff;c;f9;ff;ff;77;e;0;0;e3;2d;0;0;fe;3;0;34;0;4c;38;41;64
5;0x;a;55;0;0;0;a;dd;1;34;0;5f;1b;33;0;3c;f6;ff;ff;c;f9;ff;ff;77;e;0;0;e3;2d;0;0;fe;3;0;34;0;4c;38;41;64
6;0x;a;55;0;0;0;a;dd;1;34;0;5f;1b;33;0;3c;f6;ff;ff;c;f9;ff;ff;77;e;0;0;e3;2d;0;0;fe;3;0;34;0;4c;38;41;64
7;0x;a;55;0;0;0;a;dd;1;34;0;5f;1b;33;0;3c;f6;ff;ff;c;f9;ff;ff;77;e;0;0;e3;2d;0;0;fe;3;0;34;0;4c;38;41;64
8;0x;a;55;0;0;0;a;dd;1;34;0;5f;1b;33;0;3c;f6;ff;ff;c;f9;ff;ff;77;e;0;0;e3;2d;0;0;fe;3;0;34;0;4c;38;41;64
9;0x;a;54;0;0;0;a;44;f;34;0;8e;28;33;0;3c;f6;ff;ff;c;f9;ff;ff;96;e;0;0;ad;2d;0;0;fd;3;0;34;0;49;38;41;64
10;0x;a;54;0;0;0;a;44;f;34;0;8e;28;33;0;3c;f6;ff;ff;c;f9;ff;ff;96;e;0;0;ad;2d;0;0;fd;3;0;34;0;49;38;41;64
11;0x;a;54;0;0;0;a;44;f;34;0;8e;28;33;0;3c;f6;ff;ff;c;f9;ff;ff;96;e;0;0;ad;2d;0;0;fd;3;0;34;0;49;38;41;64
12;0x;a;54;0;0;0;a;44;f;34;0;8e;28;33;0;3c;f6;ff;ff;c;f9;ff;ff;96;e;0;0;ad;2d;0;0;fd;3;0;34;0;49;38;41;64
13;0x;a;53;0;0;0;a;79;b;34;0;d3;24;33;0;3c;f6;ff;ff;c;f9;ff;ff;96;e;0;0;4a;2d;0;0;fd;3;0;34;0;46;38;41;64
14;0x;a;52;0;0;0;a;da;14;34;0;2e;d;33;0;3c;f6;ff;ff;c;f9;ff;ff;77;e;0;0;de;2c;0;0;fe;3;0;34;0;43;38;41;64
15;0x;a;52;0;0;0;a;da;14;34;0;2e;d;33;0;3c;f6;ff;ff;c;f9;ff;ff;77;e;0;0;de;2c;0;0;fe;3;0;34;0;43;38;41;64
16;0x;a;52;0;0;0;a;da;14;34;0;2e;d;33;0;3c;f6;ff;ff;c;f9;ff;ff;77;e;0;0;de;2c;0;0;fe;3;0;34;0;43;38;41;64
17;0x;a;52;0;0;0;a;da;14;34;0;2e;d;33;0;3c;f6;ff;ff;c;f9;ff;ff;77;e;0;0;de;2c;0;0;fe;3;0;34;0;43;38;41;64
