;0;1;2;3;4;5;6;7;8
0;Index;CH4 Estimate;CH4 Concentration;CO2 Raw;CO2 Concentration;Depth;Temperatures;Luminesence;Sample ID
1;-;ppm x 1000;ppm x 1000;ppm x 1000;ppmv x 1000;m x 1000;deg C x 1000;-;-
2;0;3339390;3281515;-2500;-1760;4327;9314;3;52
3;1;3337960;3280109;-2500;-1760;4327;9314;3;52
4;2;3341059;3283157;-2500;-1760;4296;9305;3;52
5;3;3342280;3284357;-2500;-1760;4390;9296;3;52
6;4;3340609;3282714;-2500;-1760;4327;9296;3;52
7;5;3341109;3283206;-2500;-1760;4359;9287;3;52
8;6;3342000;3284082;-2500;-1760;4359;9287;3;52
9;7;3344420;3286462;-2500;-1760;4296;9287;3;52
10;8;3342880;3284947;-2500;-1760;4359;9296;3;52
11;9;3344430;3286472;-2500;-1760;4359;9305;3;52
12;10;3345319;3287346;-2500;-1760;4359;9314;3;52
13;11;3344369;3286412;-2500;-1760;4390;9314;3;52
14;12;3347339;3289332;-2500;-1760;4359;9323;3;52
15;13;3346970;3288970;-2500;-1760;4390;9323;3;52
16;14;3348829;3290798;-2500;-1760;4327;9314;3;52
17;15;3348089;3290070;-2500;-1760;4327;9314;3;52
18;16;3344270;3286315;-2500;-1760;4359;9323;3;52
19;17;3348109;3290090;-2500;-1760;4359;9305;3;52
20;18;3348500;3290475;-2500;-1760;4327;9287;3;52
21;19;3352309;3294220;-2500;-1760;4296;9287;3;52
22;20;3352049;3293965;-2500;-1760;4296;9296;3;52
23;21;3349250;3291212;-2500;-1760;4327;9296;3;52
24;22;3352450;3294359;-2500;-1760;4327;9296;3;52
25;23;3353520;3295411;-2500;-1760;4296;9296;3;52
26;24;3355299;3297161;-2500;-1760;4359;9296;3;52
27;25;3355650;3297506;-2500;-1760;4265;9296;3;52
28;26;3353160;3295057;-2500;-1760;4327;9305;3;52
29;27;3355430;3297290;-2500;-1760;4296;9305;3;52
30;28;3357250;3299079;-2500;-1760;4296;9305;3;52
31;29;3358559;3300367;-2500;-1760;4296;9305;3;52
32;30;3358079;3299895;-2500;-1760;4296;9305;3;52
33;31;3357839;3299659;-2500;-1760;4296;9305;3;52
34;32;3358119;3299934;-2500;-1760;4359;9296;3;52
35;33;3360230;3302010;-2500;-1760;4327;9287;3;52
36;34;3362020;3303771;-2500;-1760;4265;9287;3;52
37;35;3360150;3301932;-2500;-1760;4296;9287;3;52
38;36;3363040;3304774;-2500;-1760;4327;9287;3;52
39;37;3366680;3308354;-2500;-1760;4296;9287;3;52
40;38;3367109;3308776;-2500;-1760;4296;9296;3;52
41;39;3363309;3305038;-2500;-1760;4265;9305;3;52
42;40;3366390;3308069;-2500;-1760;4327;9296;3;52
43;41;3366819;3308491;-2500;-1760;4234;9296;3;52
44;42;3364819;3306524;-2500;-1760;4265;9305;3;52
45;43;3368410;3310056;-2500;-1760;4327;9305;3;52
46;44;3367040;3308708;-2500;-1760;4203;9305;3;52
47;45;3369530;3311157;-2500;-1760;4265;9314;3;52
48;46;3369579;3311206;-2500;-1760;4265;9314;3;52
49;47;3370369;3311982;-2500;-1760;4296;9296;3;52
50;48;3370710;3312318;-2500;-1760;4296;9296;3;52
51;49;3375990;3317511;-2500;-1760;4265;9314;3;52
52;50;3372400;3313980;-2500;-1760;4265;9314;3;52
53;51;3377690;3319183;-2500;-1760;4203;9332;3;52
54;52;3374180;3315731;-2500;-1760;4203;9359;3;52
55;53;3375490;3317019;-2500;-1760;4171;9369;3;52
56;54;3378270;3319754;-2500;-1760;4203;9423;3;52
57;55;3378819;3320294;-2500;-1760;4203;9432;3;52
58;56;3375059;3316595;-2500;-1760;4109;9459;3;52
59;57;3378900;3320373;-2500;-1760;4171;9459;3;52
60;58;3385450;3326816;-2500;-1760;4109;9432;3;52
61;59;3383540;3324937;-2500;-1760;4109;9432;3;52
62;60;3383230;3324632;-2500;-1760;4109;9414;3;52
63;61;3384230;3325616;-2500;-1760;4078;9414;3;52
64;62;3387650;3328980;-2500;-1760;4078;9423;3;52
65;63;3393280;3334519;-2500;-1760;4047;9432;3;52
66;64;3391790;3333053;-2500;-1760;4047;9459;3;52
67;65;3394660;3335876;-2500;-1760;4047;9559;3;52
68;66;3395410;3336614;-2500;-1760;3984;9614;3;52
69;67;3396839;3338019;-2500;-1760;4015;9658;3;52
70;68;3400210;3341336;-2500;-1760;3953;9767;3;52
71;69;3399770;3340903;-2500;-1760;4015;9867;3;52
72;70;3402960;3344041;-2500;-1760;3953;9903;3;52
73;71;3404740;3345792;-2500;-1760;3922;9903;3;52
74;72;3405980;3347012;-2500;-1760;3922;9949;3;52
75;73;3405599;3346637;-2500;-1770;3859;9994;3;52
76;74;3405559;3346598;-2500;-1770;3828;10383;3;52
77;75;3411220;3352167;-2500;-1770;3828;10284;3;52
78;76;3411220;3352167;-2500;-1770;3828;10202;3;52
79;77;3411099;3352048;-2500;-1770;3797;10763;3;52
80;78;3408349;3349343;-2500;-1770;3797;11260;3;52
81;79;3414839;3355727;-2500;-1770;3766;11540;3;52
