Date;Time ;Weekday;P_pump ;p_TDLAS;p_in ;I_total;U_supply ;external_pump;Runtime;Conc_estimate;pCH4;xCH4;T_control;T_gas;%rH_gas;
-   ;-    ;-      ;W      ;mbar   ;mbar ;mA     ;V        ;-            ;s      ;ppm          ;µatm;ppm ;°C       ;°C   ;%;
2021-03-31;06:18:13;3;2,996;1045,94;1026,68;314,375;24,624172;1;426987;341,271;342,068;337,591;34,002;30,681;55,942;
2021-03-31;06:19:13;3;0,439;1045,35;1026,13;325,525;24,623388;1;427047;286,171;286,759;283,158;34;30,692;56,178;
2021-03-31;06:19:23;3;0,439;1032,86;1024,06;236,925;24,637228;1;427057;389,051;388,876;384,771;34,006;30,657;26,312;
2021-03-31;06:19:33;3;0,439;1031,88;1024,26;228,1;24,633106;1;427067;397,911;397,796;393,518;33,998;30,637;15,972;
2021-03-31;06:19:43;3;0,439;1031,52;1024,36;254,975;24,635264;1;427077;400,133;400,052;395,712;34,001;30,641;15,096;
2021-03-31;06:19:53;3;0,439;1031,27;1024,45;233,325;24,633105;1;427087;401,047;400,999;396,614;33,995;30,63;14,832;
2021-03-31;06:20:03;3;0,439;1031,08;1024,48;255,35;24,636835;1;427097;401,408;401,369;396,97;33,999;30,625;14,689;
2021-03-31;06:20:13;3;0,439;1031,06;1024,5;255,2;24,634872;1;427107;401,505;401,476;397,066;33,999;30,631;14,596;
2021-03-31;06:21:13;3;0,438;1045,41;1026,27;326,725;24,62535;1;427167;265,24;265,848;262,473;34,001;30,672;56,223;
2021-03-31;06:22:13;3;0,438;1044,97;1025,76;329,587;24,623092;1;427227;221,984;222,428;219,714;33,995;30,683;56,431;
2021-03-31;06:22:23;3;0,439;1032,79;1022,89;254,3;24,635265;1;427237;294,769;294,43;291,653;33,999;30,641;25,823;
2021-03-31;06:22:33;3;0,439;1031,93;1023,24;248,05;24,63821;1;427247;303,069;302,813;299,854;33,997;30,637;16,086;
2021-03-31;06:22:43;3;0,439;1031,51;1023,47;242,65;24,63448;1;427257;304,732;304,54;301,497;34,002;30,635;15,21;
2021-03-31;06:22:53;3;0,438;1031,33;1023,63;236,65;24,636639;1;427267;305,359;305,213;302,117;34,005;30,625;14,945;
2021-03-31;06:23:03;3;5,552;1031,28;1023,83;244,275;24,638602;1;427277;305,499;305,413;302,255;33,995;30,623;14,831;
2021-03-31;06:23:13;3;0,439;1030,99;1023,93;252,55;24,634088;1;427287;305,701;305,643;302,455;33,991;30,615;14,71;
2021-03-31;06:24:13;3;0,438;1045,26;1026,13;318,487;24,623682;1;427347;201,792;202,289;199,748;34;30,67;56,474;
2021-03-31;06:25:13;3;0,438;1044,83;1025,59;323,512;24,625743;1;427407;170,038;170,394;168,342;33,999;30,686;56,692;
2021-03-31;06:25:23;3;0,438;1032,4;1023,23;241,925;24,63762;1;427417;223,739;223,631;221,449;34,005;30,643;26,193;
2021-03-31;06:25:33;3;0,438;1031,28;1023,49;255,55;24,635657;1;427427;230,181;230,121;227,818;34,002;30,637;16,185;
2021-03-31;06:25:43;3;5,552;1031,06;1023,67;260,05;24,639977;1;427437;231,713;231,692;229,333;33,994;30,639;15,303;
2021-03-31;06:25:53;3;0,438;1030,76;1023,82;245,075;24,638406;1;427447;232,441;232,452;230,053;34,002;30,631;15,053;
2021-03-31;06:26:03;3;0,438;1030,65;1023,93;256,925;24,635854;1;427457;232,667;232,704;230,276;34,001;30,625;14,881;
2021-03-31;06:26:13;3;0,438;1030,64;1024;255,25;24,638406;1;427467;232,919;232,972;230,525;33,994;30,627;14,803;
2021-03-31;06:27:13;3;2,995;1045,01;1025,88;320,337;24,626038;1;427527;154,899;155,278;153,365;33,998;30,679;56,716;
2021-03-31;06:28:13;3;0,439;1044,62;1025,44;309,262;24,626528;1;427587;131,006;131,285;129,724;34,002;30,695;56,909;
2021-03-31;06:28:23;3;0,439;1031,92;1023,56;243,9;24,641744;1;427597;173,189;173,204;171,459;34,003;30,661;27,31;
2021-03-31;06:28:33;3;0,438;1030,93;1023,76;248,475;24,640369;1;427607;176,625;176,672;174,857;34,003;30,661;16,243;
2021-03-31;06:28:43;3;0,438;1030,5;1023,88;225,325;24,637425;1;427617;177,586;177,653;175,807;34,003;30,661;15,404;
2021-03-31;06:28:53;3;0,438;1030,31;1023,98;245,425;24,639976;1;427627;178,247;178,331;176,462;34,001;30,653;15,103;
2021-03-31;06:29:03;3;0,439;1030,09;1024,07;249,3;24,637032;1;427637;178,065;178,165;176,282;33,998;30,643;14,975;
2021-03-31;06:29:13;3;0,438;1030,06;1024,17;240,075;24,639191;1;427647;178,279;178,397;176,494;34,003;30,643;14,882;
2021-03-31;06:30:13;3;0,438;1045,12;1025,98;311,7;24,626725;1;427707;119,268;119,592;118,107;33,999;30,706;56,942;
2021-03-31;06:31:13;3;2,995;1044,69;1025,64;315,687;24,629081;1;427767;100,804;101,054;99,833;34,001;30,72;57,134;
2021-03-31;06:31:23;3;0,438;1031,19;1023,79;219,625;24,636443;1;427777;132,303;132,371;131,008;33,999;30,679;26,398;
2021-03-31;06:31:33;3;0,438;1030,13;1023,95;240,25;24,641154;1;427787;135,59;135,678;134,26;34,002;30,677;16,386;
2021-03-31;06:31:43;3;0,438;1029,9;1024,04;237,45;24,63605;1;427797;136,436;136,536;135,097;33,995;30,683;15,462;
2021-03-31;06:31:53;3;5,552;1029,59;1024,12;224,575;24,639387;1;427807;136,682;136,792;135,34;34,002;30,675;15,19;
2021-03-31;06:32:03;3;0,438;1029,65;1024,22;243,35;24,63605;1;427817;136,932;137,056;135,587;33,998;30,675;15,062;
2021-03-31;06:32:13;3;0,438;1029,35;1024,28;233,725;24,643314;1;427827;136,96;137,092;135,615;34;30,669;14,955;
2021-03-31;06:33:13;3;0,438;1044,85;1025,79;299,862;24,625645;1;427887;91,785;92,03;90,904;34,001;30,744;57,115;
2021-03-31;06:34:13;3;0,438;1044,48;1025,5;310,725;24,62486;1;427947;77,856;78,047;77,115;34;30,769;57,315;
2021-03-31;06:34:23;3;0,438;1031,37;1022,75;251,95;24,638602;1;427957;101,357;101,321;100,38;33,997;30,715;26,443;
2021-03-31;06:34:33;3;0,438;1030,41;1023,08;255,7;24,634676;1;427967;104,479;104,475;103,471;33,988;30,699;16,409;
2021-03-31;06:34:43;3;0,438;1030,02;1023,36;231,475;24,642725;1;427977;104,716;104,739;103,704;34,003;30,701;15,512;
2021-03-31;06:34:53;3;0,438;1029,85;1023,53;243,025;24,640173;1;427987;105,319;105,361;104,302;33,995;30,697;15,256;
2021-03-31;06:35:03;3;0,439;1029,63;1023,71;236,35;24,642922;1;427997;105,304;105,363;104,286;34,002;30,701;15,121;
2021-03-31;06:35:13;3;0,438;1029,46;1023,88;240,225;24,640762;1;428007;105,455;105,533;104,437;33,998;30,697;15,006;
2021-03-31;06:36:13;3;0,438;1044,65;1025,72;306;24,625743;1;428067;71,177;71,37;70,502;33,999;30,763;57,289;
2021-03-31;06:37:13;3;0,438;1044,32;1025,49;303,075;24,629964;1;428127;60,864;61,018;60,289;34;30,79;57,47;
2021-03-31;06:37:23;3;5,552;1030,78;1023,71;224,8;24,639584;1;428137;78,319;78,374;77,573;34;30,753;26,305;
2021-03-31;06:37:33;3;0,438;1029,91;1023,94;234,825;24,641547;1;428147;80,987;81,061;80,215;34;30,745;16,454;
2021-03-31;06:37:43;3;0,438;1029,5;1024,05;234,05;24,637817;1;428157;81,188;81,271;80,413;33,996;30,739;15,564;
2021-03-31;06:37:53;3;0,439;1029,39;1024,19;224,375;24,638406;1;428167;81,501;81,595;80,724;34,002;30,741;15,322;
2021-03-31;06:38:03;3;5,551;1029,12;1024,29;235,575;24,640762;1;428177;81,483;81,586;80,706;34,001;30,753;15,144;
2021-03-31;06:38:13;3;0,438;1029,16;1024,35;221,8;24,639191;1;428187;81,42;81,526;80,643;34;30,749;15,051;
2021-03-31;06:39:33;3;0,438;1044,77;1026,02;301,487;24,63232;1;428267;52,48;52,642;51,987;34,001;30,817;57,525;
2021-03-31;06:40:33;3;0,438;1044,55;1025,74;298,612;24,63124;1;428327;44,267;44,393;43,853;33,998;30,863;57,652;
2021-03-31;06:42:41;3;0,438;1042,1;1023,14;301,1;24,62859;1;428408;38,107;38,12;37,751;34,003;30,874;57,935;
2021-03-31;06:43:41;3;0,438;1042,49;1023,57;298,45;24,630946;1;428468;32,75;32,776;32,446;33,997;30,946;57,861;
2021-03-31;06:44:41;3;0,438;1042,79;1023,86;297,675;24,630357;1;428528;28,168;28,199;27,907;33,998;30,987;57,788;
2021-05-24;10:37:54;1;0,414;1032,27;1012,68;1324,325;18,802493;1;428619;8,79;8,704;8,709;24,664;21,766;50,423;
2021-05-24;10:38:54;1;0,416;1037,24;1017,71;1325,712;18,801118;1;428679;8,414;8,373;8,337;25,912;21,892;51,44;
2021-05-24;10:39:54;1;0,419;1038,78;1019,32;1316,2;18,799155;1;428739;9,302;9,272;9,217;26,914;22,087;51,954;
2021-05-24;10:40:54;1;0,421;1038,78;1019,46;1318,362;18,800824;1;428799;9,81;9,78;9,72;27,825;22,368;52,187;
2021-05-24;10:41:54;1;0,422;1038,33;1018,89;1324,137;18,799253;1;428859;9,552;9,517;9,464;28,69;22,692;52,225;
2021-05-24;10:42:54;1;0,424;1037,54;1018,04;1323,512;18,798763;1;428919;9,246;9,204;9,16;29,514;23,054;52,109;
2021-05-24;10:43:54;1;2,983;1036,53;1017,06;1321,137;18,7968;1;428979;8,55;8,503;8,471;30,306;23,451;51,848;
2021-05-24;10:44:54;1;0,426;1035,7;1016,09;1316,787;18,798076;1;429039;8,136;8,084;8,061;31,069;23,868;51,457;
2021-05-24;10:45:54;1;2,985;1034,94;1015,28;1313,012;18,79572;1;429099;8,382;8,322;8,305;31,811;24,295;50,967;
2021-05-24;10:46:54;1;0,428;1034,24;1014,53;1315,1;18,792873;1;429159;8,346;8,28;8,269;32,529;24,744;50,411;
2021-05-24;10:47:54;1;2,987;1033,55;1013,93;1308,837;18,795033;1;429219;8,002;7,934;7,928;33,23;25,212;49,82;
2021-05-24;10:48:54;1;0,43;1032,9;1013,42;1305,175;18,792677;1;429279;7,665;7,596;7,595;33,91;25,656;49,181;
2021-05-24;10:49:54;1;0,43;1032,31;1012,88;1051,287;18,859034;1;429339;6,66;6,596;6,599;34,058;26,126;48,514;
2021-05-24;10:50:54;1;0,431;1031,53;1012,16;920,725;18,893882;1;429399;5,493;5,437;5,443;34,021;26,559;47,826;
2021-05-24;10:51:54;1;0,432;1030,78;1011,5;831,487;18,916753;1;429459;5,219;5,162;5,171;34,016;26,951;47,178;
2021-05-24;10:52:54;1;0,432;1030,1;1010,85;755,85;18,933834;1;429519;6,176;6,105;6,119;34,011;27,321;46,605;
2021-05-24;10:53:54;1;0,433;1029,53;1010,25;708,975;18,951699;1;429579;6,925;6,841;6,861;34,01;27,663;46,046;
2021-05-24;10:54:54;1;0,433;1029,1;1009,74;657,7;18,959356;1;429639;6,963;6,875;6,899;34,008;27,959;45,535;
2021-05-24;10:55:54;1;0,433;1028,7;1009,3;627,175;18,969663;1;429699;7,146;7,053;7,08;34,004;28,254;45,085;
2021-05-24;10:56:54;1;2,991;1028,27;1008,97;596,762;18,978399;1;429759;6,776;6,685;6,713;34,005;28,508;44,663;
2021-05-24;10:57:54;1;0,434;1028;1008,72;567,875;18,982227;1;429819;6,378;6,291;6,319;34,003;28,725;44,28;
2021-05-24;10:58:54;1;2,991;1027,82;1008,5;553,637;18,990375;1;429879;6,351;6,263;6,293;34;28,938;43,911;
2021-05-24;10:59:54;1;0,434;1027,62;1008,29;516,912;18,994595;1;429939;6,298;6,21;6,24;34,004;29,126;43,581;
2021-05-24;11:00:54;1;2,991;1027,43;1008,1;503,15;19,000583;1;429999;6,197;6,109;6,14;34,005;29,312;43,286;
2021-05-24;11:01:54;1;0,435;1027,4;1007,95;487,437;19,001369;1;430059;6,012;5,926;5,957;34,001;29,479;42,989;
2021-05-24;11:02:54;1;2,992;1027,27;1007,87;478,112;19,007847;1;430119;5,952;5,866;5,897;34,005;29,626;42,729;
